TIPO,ID_PRUEBA,GRUPO,PRUEBA,ANALISIS,ID_REFERENCIA,POBLACION_ID,SEXO,VALOR_MIN,VALOR_MAX,UNIDAD,ID_TIPO_RESULTADO
simple,3,Hematologia,Hemoglobina,Hemoglobina,90,9,ambos,"NEGATIVO                                                                                                      TRAZAS                                                                                                       POSITIVO ( + )                                                                                      POSITIVO ( ++ )                                                                                          POSITIVO  ( +++ )",,,3
simple,3,Hematologia,Hemoglobina,Hemoglobina,91,10,ambos,"NEGATIVO                                                                                                      TRAZAS                                                                                                       POSITIVO ( + )                                                                                      POSITIVO ( ++ )                                                                                          POSITIVO  ( +++ )",,,3
simple,3,Hematologia,Hemoglobina,Hemoglobina,92,10,ambos,"NEGATIVO                                                                                                      TRAZAS                                                                                                       POSITIVO ( + )                                                                                      POSITIVO ( ++ )                                                                                          POSITIVO  ( +++ )",,,3
simple,3,Hematologia,Hemoglobina,Hemoglobina,93,11,ambos,"NEGATIVO                                                                                                      TRAZAS                                                                                                       POSITIVO ( + )                                                                                      POSITIVO ( ++ )                                                                                          POSITIVO  ( +++ )",,,3
simple,3,Hematologia,Hemoglobina,Hemoglobina,94,11,ambos,"NEGATIVO                                                                                                      TRAZAS                                                                                                       POSITIVO ( + )                                                                                      POSITIVO ( ++ )                                                                                          POSITIVO  ( +++ )",,,3
simple,3,Hematologia,Hemoglobina,Hemoglobina,95,12,ambos,"NEGATIVO                                                                                                      TRAZAS                                                                                                       POSITIVO ( + )                                                                                      POSITIVO ( ++ )                                                                                          POSITIVO  ( +++ )",,,3
simple,3,Hematologia,Hemoglobina,Hemoglobina,96,12,ambos,"NEGATIVO                                                                                                      TRAZAS                                                                                                       POSITIVO ( + )                                                                                      POSITIVO ( ++ )                                                                                          POSITIVO  ( +++ )",,,3
simple,179,Heces,Lienteria,Lienteria,950,15,ambos,"NEGATIVO                                                                                            POSITIVO",,,3
simple,179,Heces,Lienteria,Lienteria,950,15,ambos,"NEGATIVO                                                                                            POSITIVO",,,3
simple,179,Heces,Lienteria,Lienteria,950,15,ambos,"NEGATIVO                                                                                            POSITIVO",,,3
